tx_id,customer_id,tx_ts,amount,product_id,quantity,unit_price
3ae07344-aa39-4065-9f9d-d9e9af14497e,cust_244,2025-04-16T18:21:34.047621,351.57,prod_18,3,117.19
a7004166-e156-4489-b0d7-d57a674c4f34,cust_313,2025-06-12T12:45:28.047621,159.9,prod_93,3,53.3
ab0471b5-de8d-4e33-a3b6-e8973eee1064,cust_120,2025-08-03T12:30:28.047621,127.23,prod_140,3,42.41
77646dfa-4992-4593-803f-c38ecdcc89d8,cust_7,2025-12-12T08:25:41.047621,130.71,prod_124,1,130.71
58838aa4-47e6-485a-8b8a-abe52170d56e,cust_298,2025-12-09T15:09:36.047621,205.68,prod_189,2,102.84
0c5c7769-b4c3-424e-8091-e6ad54a6683d,cust_303,2025-04-20T22:16:09.047621,365.04,prod_133,3,121.68
088ae811-cbbb-4dd2-827b-3db93a3f5a88,cust_200,2025-11-04T16:27:10.047621,15.3,prod_120,2,7.65
3f74d306-c827-43d3-91f6-25de64eabf8c,cust_455,2025-10-16T04:53:46.047621,537.12,prod_146,3,179.04
b83f55f9-6e77-4ce5-a06d-96c5364857b4,cust_346,2025-08-06T11:41:34.047621,323.43,prod_57,3,107.81
64fe2a26-b669-4af5-9318-0c57904d4f88,cust_110,2025-07-06T19:05:43.047621,373.3,prod_154,2,186.65
54b724b1-df47-411a-a2f2-37ee2e7b2206,cust_1,2026-01-01T19:19:24.047621,132.7,prod_1,2,66.35
8bbd2650-1afa-4305-a67b-caf179fad982,cust_198,2025-01-31T10:45:53.047621,113.36,prod_132,1,113.36
0e973876-2107-4045-9c4a-b11dcc0cf84a,cust_284,2026-01-27T11:22:00.047621,359.7,prod_74,2,179.85
fd54b12f-22d7-4818-9601-53c8376b4cf6,cust_75,2025-02-11T00:01:22.047621,78.54,prod_163,2,39.27
e906049b-a44b-4f28-9122-2d5271c0d7ed,cust_160,2025-07-05T12:38:59.047621,83.37,prod_111,1,83.37
84ae1f8c-c465-48d2-b216-6c73c17f1c8b,cust_425,2025-07-15T06:36:27.047621,359.44,prod_51,2,179.72
fdb1f4ae-ad21-450d-8eb3-20bcc07f7993,cust_209,2025-09-09T23:19:34.047621,154.28,prod_161,2,77.14
48e8622f-7d78-4a02-a4aa-bf0c08e2e4b2,cust_116,2025-05-10T00:37:28.047621,140.52,prod_108,3,46.84
f29ea73c-5772-4d63-be44-e1c405230de1,cust_303,2025-09-27T18:58:34.047621,241.72,prod_7,2,120.86
f6ced2ab-e7d6-48a2-b870-659de5f01556,cust_275,2025-12-26T18:52:09.047621,57.62,prod_167,1,57.62
47b5cfef-f951-42e1-9a0a-6d38532bc0ca,cust_256,2025-04-12T22:12:57.047621,330.78,prod_197,2,165.39
d05d2500-3ec7-4374-a723-5df54006904c,cust_47,2025-04-26T02:16:35.047621,55.7,prod_61,2,27.85
