product_id,unit_price
prod_1,66.35
prod_2,186.63
prod_3,174.7
prod_4,162.64
prod_5,134.26
prod_6,30.16
prod_7,120.86
prod_8,34.39
prod_9,169.82
prod_10,46.27
prod_11,150.72
prod_12,145.62
prod_13,59.92
prod_14,25.51
prod_15,163.78
prod_16,38.81
prod_17,136.43
prod_18,117.19
prod_19,105.29
prod_20,145.97
prod_21,89.41
prod_22,26.08
prod_23,53.11
prod_24,149.38
prod_25,193.06
prod_26,191.41
prod_27,65.52
prod_28,159.31
prod_29,61.97
prod_30,57.38
prod_31,52.71
prod_32,129.93
prod_33,180.3
prod_34,160.78
prod_35,76.7
prod_36,130.87
prod_37,132.85
prod_38,135.65
prod_39,46.92
prod_40,173.84
prod_41,78.38
prod_42,79.77
prod_43,90.6
prod_44,106.68
prod_45,11.3
prod_46,106.68
prod_47,84.9
prod_48,158.93
prod_49,119.34
prod_50,79.13
prod_51,179.72
prod_52,185.28
prod_53,40.67
prod_54,46.89
prod_55,74.68
prod_56,180.62
prod_57,107.81
prod_58,128.49
prod_59,29.83
prod_60,6.93
prod_61,27.85
prod_62,57.55
prod_63,125.04
prod_64,40.16
prod_65,164.52
prod_66,154.37
prod_67,98.42
prod_68,44.6
prod_69,158.13
prod_70,103.2
prod_71,72.49
prod_72,177.93
prod_73,123.42
prod_74,179.85
prod_75,90.36
prod_76,20.82
prod_77,125.35
prod_78,198.08
prod_79,73.47
prod_80,153.94
prod_81,77.58
prod_82,21.3
prod_83,50.59
prod_84,77.74
prod_85,29.53
prod_86,131.69
prod_87,76.15
prod_88,153.82
prod_89,123.4
prod_90,181.49
prod_91,56.62
prod_92,106.7
prod_93,53.3
prod_94,188.0
prod_95,83.92
prod_96,46.92
prod_97,97.02
prod_98,29.29
prod_99,146.53
prod_100,48.79
prod_101,164.16
prod_102,91.15
prod_103,119.9
prod_104,43.38
prod_105,91.91
prod_106,40.33
prod_107,76.53
prod_108,46.84
prod_109,80.94
prod_110,83.8
prod_111,83.37
prod_112,145.45
prod_113,12.67
prod_114,107.84
prod_115,97.9
prod_116,33.98
prod_117,90.32
prod_118,125.49
prod_119,133.07
prod_120,7.65
prod_121,25.63
prod_122,120.27
prod_123,86.81
prod_124,130.71
prod_125,101.59
prod_126,103.87
prod_127,15.63
prod_128,75.98
prod_129,82.05
prod_130,182.14
prod_131,64.33
prod_132,113.36
prod_133,121.68
prod_134,94.15
prod_135,55.89
prod_136,79.36
prod_137,30.58
prod_138,22.63
prod_139,43.5
prod_140,42.41
prod_141,7.69
prod_142,179.68
prod_143,48.58
prod_144,40.81
prod_145,22.81
prod_146,179.04
prod_147,123.84
prod_148,187.38
prod_149,53.78
prod_150,79.54
prod_151,174.54
prod_152,154.96
prod_153,118.36
prod_154,186.65
prod_155,57.26
prod_156,185.16
prod_157,160.52
prod_158,8.82
prod_159,44.23
prod_160,45.84
prod_161,77.14
prod_162,99.6
prod_163,39.27
prod_164,177.23
prod_165,29.16
prod_166,96.99
prod_167,57.62
prod_168,60.71
prod_169,71.55
prod_170,8.92
prod_171,89.78
prod_172,8.24
prod_173,65.77
prod_174,36.76
prod_175,135.04
prod_176,26.9
prod_177,155.75
prod_178,81.66
prod_179,82.58
prod_180,47.8
prod_181,123.92
prod_182,18.25
prod_183,76.68
prod_184,91.63
prod_185,191.65
prod_186,45.6
prod_187,73.11
prod_188,169.3
prod_189,102.84
prod_190,71.56
prod_191,71.24
prod_192,165.06
prod_193,180.28
prod_194,44.29
prod_195,38.29
prod_196,76.76
prod_197,165.39
prod_198,102.31
prod_199,44.07
prod_200,184.13
